ID	5_11_1_1	5_12_2_1	5_13_5_1	5_14_1_1	5_14_5_1	5_12_2_3	5_13_5_3	5_14_1_3	5_14_5_3	5_11_1_3	5_12_2_5	5_13_5_5	5_14_1_5	5_14_5_5
2450_1	4	1	0	0	0	3	13	2	41	2	15	18	6	26
245_1	6	0	2	1	0	0	0	2	1	0	0	0	0	1
2449_1	0	0	0	0	0	0	2	0	1	1	10	1	0	6
2448_1	1	0	0	0	0	2	10	0	16	1	19	4	3	11
2447_1	10	2	2	3	1	6	14	1	45	1	14	40	3	40
2446_1	12	0	4	0	1	1	27	1	58	45	81	161	15	164
2445_1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
2444_1	9	2	8	1	6	8	108	4	135	15	188	95	12	226
2443_1	14	2	10	1	3	8	131	6	300	60	358	329	29	548
2442_1	4	1	0	0	1	3	41	0	19	17	134	184	38	1077
2441_1	11	0	3	2	0	5	33	0	26	25	66	157	18	42
2440_1	3	0	0	0	0	2	35	0	84	8	64	24	0	6
244_1	13	2	6	3	4	17	55	9	64	34	95	91	12	88
2439_1	8	0	0	2	0	4	2	0	22	0	9	10	0	10
2438_1	10	0	1	2	0	4	22	4	47	3	92	28	8	67
2437_1	9	1	3	0	2	3	53	0	81	12	90	65	3	67
2436_1	11	0	4	2	1	2	6	0	33	12	62	78	2	64
2435_1	7	0	0	0	0	0	0	0	11	0	0	2	0	4
2434_1	7	2	4	1	2	5	93	6	90	42	158	74	18	251
2433_1	4	0	0	0	0	1	0	0	14	1	3	2	0	4
2432_1	6	0	1	1	1	3	10	0	12	2	4	12	2	18
2431_1	6	0	0	0	0	0	0	0	5	0	0	0	0	0
2430_1	1	1	0	0	0	1	3	3	8	0	3	4	2	11
243_1	3	0	0	0	0	1	1	0	13	3	3	10	1	12
2429_1	13	1	6	4	2	3	86	1	95	49	159	87	36	450
2428_1	7	0	3	1	0	2	31	0	25	9	46	28	1	60
2427_1	5	0	2	0	0	6	44	0	12	21	240	85	32	366
2426_1	8	1	1	0	0	4	86	2	135	47	174	243	29	359
2425_1	2	0	0	0	0	0	3	0	3	1	4	1	1	20
2424_1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
2423_1	11	2	2	1	2	4	18	1	43	3	14	34	3	42
2422_1	5	1	8	1	2	39	46	6	57	13	56	35	12	105
2421_1	1	0	0	0	0	15	5	0	11	0	12	4	1	3
2420_1	0	0	0	0	0	2	41	0	8	8	47	25	3	50
242_1	7	1	0	1	1	3	5	5	30	2	13	12	3	28
2419_1	10	0	0	5	0	0	5	0	33	3	23	8	6	30
2418_1	36	3	3	6	1	19	66	13	164	34	396	300	50	408
2417_1	6	0	2	0	1	1	18	0	12	8	46	24	6	27
2416_1	6	0	1	0	0	1	4	2	20	8	20	38	1	47
2415_1	0	0	0	0	0	0	1	0	7	1	6	0	0	4
2414_1	0	0	1	1	0	1	7	1	5	1	0	5	0	4
2413_1	0	0	0	0	1	0	10	0	18	6	21	10	3	28
2412_1	13	0	9	0	1	6	28	1	49	44	72	135	13	59
2411_1	0	0	0	0	0	0	0	0	1	1	1	7	0	3
2410_1	1	0	1	0	1	2	11	1	56	1	12	25	1	17
241_1	1	0	1	0	0	1	10	0	9	12	46	79	4	68
2409_1	0	1	1	0	0	0	3	0	9	0	2	3	0	0
2408_1	9	0	10	0	2	14	70	2	163	58	154	211	30	235
2407_1	14	1	5	0	2	2	30	5	93	5	39	44	5	50
2406_1	0	0	0	0	0	0	1	1	4	1	0	3	1	7
2405_1	2	0	1	0	0	4	38	0	26	3	3	2	2	160
2404_1	1	0	3	0	0	4	9	4	36	9	24	35	8	28
2403_1	6	0	3	0	1	3	39	0	63	17	94	52	7	123
2402_1	10	1	1	0	0	4	13	4	17	0	6	9	1	38
2401_1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2400_1	6	2	1	0	1	5	20	3	46	3	148	156	8	40
240_1	1	0	0	0	0	0	1	0	2	0	0	2	0	0
24_1	2	1	2	1	0	3	8	0	11	3	31	7	0	15
2399_1	0	0	1	0	0	0	7	0	1	45	5	4	18	46
2398_1	3	0	1	0	0	0	0	0	1	1	0	5	0	0
2397_1	80	65	55	62	63	0	0	0	0	0	0	0	0	1
2396_1	8	1	3	0	0	3	11	0	21	11	141	181	13	114
2395_1	3	0	2	1	0	3	0	3	13	3	3	24	1	11
2394_1	0	0	0	0	0	0	0	1	2	0	0	2	0	2
2393_1	11	0	0	0	1	2	18	2	33	6	31	26	4	44
2392_1	1	0	0	2	0	4	22	1	45	14	45	23	9	56
2391_1	9	4	4	3	0	5	17	6	21	0	6	15	3	22
2390_1	2	0	0	0	0	0	0	0	4	0	0	1	0	0
239_1	0	0	0	0	0	0	1	0	1	0	0	1	0	0
2389_1	4	0	0	0	0	1	5	0	12	6	16	266	4	49
2388_1	4	2	1	0	0	2	1	0	3	1	6	1	0	1
2387_1	20	2	19	5	5	11	120	2	51	46	835	460	67	1284
2386_1	33	1	4	4	3	28	170	23	196	70	604	400	96	809
