,3_X_13_11,3_X_15_11,3_X_16_11,3_X_28_11,3_X_45_11,3_X_46_11,3_X_47_11,3_X_49_11,3_X_50_11,5_11_1_-1,5_11_1_1,5_11_1_3,5_11_1_5,5_11_1_8,5_12_2_-1,5_12_2_1,5_12_2_3,5_12_2_5,5_12_2_8,5_13_5_-1,5_13_5_1,5_13_5_3,5_13_5_5,5_13_5_8,5_14_1_-1,5_14_1_1,5_14_1_3,5_14_1_5,5_14_1_8,5_14_5_-1,5_14_5_1,5_14_5_3,5_14_5_5,5_14_5_8,ID
1868_1,514991.355,257206.4362,125124.207,130164.6998,0,0,0,0,0,275289.3285,217308.2926,150200.7696,186427.9257,360104.1619,138601.5897,175030.1066,132521.5498,204848.5237,179494.5055,0,159147.153,135476.2075,293935.3411,1883663.898,0,300212.9885,111264.6573,100884.4213,498424.2936,172397.4326,0,97869.45464,399021.5152,351838.8943,1868_1
1867_1,471987.4405,244078.3687,901944.6253,670198.9178,0,0,0,0,0,212613.6468,335666.5428,696025.5283,543937.6683,421391.6887,0,270361.292,272933.5969,210946.9912,156710.6209,0,294993.1123,480076.5274,854642.7625,424819.472,445793.1133,0,343731.2254,350621.3691,524927.7549,266294.7166,0,208764.97,674133.851,217388.0137,1867_1
1866_1,416567.5748,254288.1763,188227.4039,263933.2531,0,0,0,0,0,0,241157.3444,311145.2128,168575.3528,193757.4351,0,258985.6416,196087.2861,298055.0808,161664.3604,0,376774.7466,212250.9018,1048937.644,629612.8331,213518.0199,444214.1696,164634.2405,149274.9852,212310.6584,0,259822.1532,337898.982,479714.2427,312361.8795,1866_1
1865_1,66627.36539,27266.72907,46356.63555,42525.6281,0,0,0,0,0,97133.86007,182104.7126,31798.35691,91360.76811,38503.08005,0,0,0,74688.63955,41304.35582,54256.40712,11230.78572,70296.77305,262332.8103,75984.70073,0,0,78517.86856,26697.25698,73277.26167,0,0,77287.09839,158390.8565,62071.91195,1865_1
1864_1,20836.65885,11666.62182,27422.15562,24381.90374,0,0,0,0,0,0,522045.1493,212700.4187,356193.1231,364247.2587,0,354087.7516,625549.1499,44894.49509,844647.0154,0,193173.8214,201521.9093,419741.8553,104977.1882,291923.9658,151833.5105,900358.301,357157.9345,267356.9401,0,0,527975.8371,454063.9126,498241.6556,1864_1
1863_1,0,3447.106673,0,14408.11649,0,0,0,0,0,0,0,89780.06342,185723.7598,228291.6333,0,0,1188188.966,40814.95609,1119546.959,0,0,333441.6906,723450.2563,162841.0307,0,0,3325331.827,226132.5733,90280.30384,0,0,766069.7565,484470.6162,2313365.648,1863_1
1862_1,1558643.706,915433.0181,914200.7833,1353777.038,0,0,0,0,0,0,391988.4104,3421134.868,1692535.067,1774742.895,54057.18193,273059.9075,585773.0117,1122520.686,435255.7835,59972.88625,471734.5187,1451497.125,4558634.48,3474979.722,168841.0516,117088.6148,303766.9111,1436157.802,998481.804,67238.18538,684854.6958,1563189.089,3051724.016,2072077.451,1862_1
1861_1,0,0,0,18494.78226,0,0,0,0,0,0,208418.4079,0,0,0,0,0,0,0,29939.39973,0,0,0,0,0,0,0,0,0,0,0,0,17879.18176,23918.61923,0,1861_1
1860_1,89277.25721,0,15493.66648,17908.68,0,0,0,0,0,0,201813.5992,0,0,0,0,0,0,25365.63292,0,0,0,0,0,9638.310503,0,0,0,93691.07789,28053.65075,0,0,86562.93984,23160.63482,0,1860_1
186_1,291488.7305,155715.5404,374423.4598,362331.816,1221889.15,0,0,0,0,0,491488.0002,3804755.907,43245.70395,440448.822,192908.545,243610.5046,799266.9548,508450.4309,206376.4691,642058.0104,398707.7092,976067.9115,1275445.801,743904.6407,803368.592,626763.9239,154860.44,1474336.645,404668.3606,0,244397.3552,220541.3581,2186755.03,440726.9526,186_1
