ID	5_11_1_3	5_12_2_5	5_13_5_5	5_14_1_5	5_14_5_5	5_11_1_5	5_11_1_8	5_12_2_8	5_13_5_8	5_14_1_8	5_14_5_8
3346_1	3	0	0	0	0	0	0	1	1	0	0
3345_1	4	195	49	2	99	32	18	18	330	101	18
3344_1	21	74	33	7	99	20	40	45	162	228	19
3343_1	5	37	30	7	85	12	24	27	70	36	9
3342_1	72	243	128	44	564	62	57	20	1379	165	50
3341_1	7	27	16	13	37	3	19	1	80	31	5
3340_1	3	2	15	1	19	0	17	21	1	9	13
334_1	43	54	105	14	236	3	86	84	32	81	23
3339_1	563	4458	3774	383	3199	822	852	504	3718	3389	401
3338_1	21	22	25	16	85	1	22	1	58	48	2
3337_1	6	33	45	2	59	0	5	24	43	13	5
3336_1	6	77	50	8	69	17	11	8	125	56	9
3335_1	128	773	273	64	635	66	131	94	1866	296	54
3334_1	25	94	51	24	113	24	32	24	264	69	12
3333_1	1	9	4	4	5	1	0	2	15	14	2
3332_1	19	37	29	8	71	0	13	15	66	27	2
3331_1	0	4	4	2	16	0	10	1	22	11	3
3330_1	0	0	0	1	5	0	3	5	1	1	8
333_1	10	17	56	19	104	0	5	21	44	25	7
3329_1	14	23	25	34	97	10	20	33	35	42	5
3328_1	222	2216	882	119	1587	532	235	195	4133	1223	195
3327_1	42	832	891	248	626	61	79	33	462	114	14
3326_1	1	18	26	1	22	5	4	28	48	16	4
3325_1	3	81	72	4	36	34	69	24	1481	36	32
3324_1	9	85	39	9	66	13	19	8	146	47	6
3323_1	14	30	19	5	110	21	23	9	218	40	8
3322_1	0	7	10	2	32	0	4	16	10	2	2
3321_1	1	1	4	1	15	3	0	0	11	0	0
3320_1	88	361	704	60	656	79	200	549	987	384	130
332_1	2	3	20	3	28	1	14	21	21	14	2
3319_1	52	137	117	27	200	66	22	40	186	102	11
3318_1	10	18	102	4	234	37	47	7	279	78	22
3317_1	6	34	49	4	21	7	21	12	295	58	8
3316_1	39	43	88	37	150	0	18	15	120	52	11
3315_1	0	1	0	1	2	0	0	3	0	0	2
3314_1	8	21	13	5	27	3	5	18	16	19	5
3313_1	0	1	2	1	6	0	1	0	15	6	0
3312_1	49	119	123	51	183	60	64	21	193	94	16
3311_1	0	1	1	0	4	0	0	0	1	2	0
3310_1	548	4448	4875	326	3181	555	353	305	3926	4353	393
331_1	0	3	1	0	4	2	0	0	1	5	1
3309_1	8	20	8	1	24	10	30	2	74	13	2
3308_1	0	0	0	0	0	0	0	0	0	0	0
3307_1	92	468	23	10	80	15	40	49	347	237	12
3306_1	23	112	105	34	109	8	19	18	121	107	12
3305_1	2	34	16	5	18	19	2	16	44	34	2
3304_1	0	4	3	0	9	0	0	6	7	3	1
3302_1	5	29	42	2	65	19	12	28	163	44	17
3301_1	1	35	2	0	11	0	28	17	325	35	6
3300_1	1	8	16	0	56	0	18	7	28	63	6
330_1	4	0	4	0	22	0	7	5	53	5	1
33_1	3	41	24	1	38	43	4	4	124	63	7
3299_1	175	1417	921	116	1734	377	386	189	3511	810	202
3298_1	3	20	14	1	3	1	1	1	19	12	2
3297_1	0	5	1	1	20	0	6	2	24	9	1
3296_1	1	9	6	1	26	2	7	14	13	8	2
3295_1	6	59	43	8	46	23	11	6	58	40	7
3294_1	1	6	5	0	4	0	0	1	14	5	2
3293_1	18	64	143	17	151	1	55	102	53	56	38
3292_1	49	112	151	48	281	37	33	40	213	107	7
3291_1	20	90	122	21	160	12	46	105	161	109	27
3290_1	14	76	145	14	479	59	39	36	141	559	15
329_1	21	52	244	28	670	0	241	695	92	158	156
3289_1	57	60	222	21	420	77	114	112	417	638	31
3288_1	3	10	33	4	75	0	15	40	33	23	5
3287_1	43	49	33	18	111	2	17	27	91	41	3
3286_1	4	40	22	8	25	0	13	7	37	28	4
3285_1	23	110	95	24	175	51	23	21	435	106	16
3284_1	1	14	29	0	266	27	70	13	46	160	0
3283_1	13	109	64	9	175	31	35	16	474	54	21
3282_1	11	83	31	22	98	23	13	18	133	84	3
3281_1	31	203	145	26	269	40	52	37	768	139	33
3280_1	2	16	3	5	16	0	1	0	5	4	1
328_1	1	0	1	1	1	0	1	3	7	2	1
3279_1	6	29	36	8	99	0	21	72	17	36	9
3278_1	241	116	241	17	558	90	122	301	222	154	64
3277_1	0	0	0	0	0	0	0	0	0	0	0
3276_1	0	3	3	0	6	0	7	3	3	6	1
3275_1	5	45	49	6	51	5	11	14	71	28	10
3274_1	15	48	19	5	77	23	6	11	183	57	10
3273_1	3	84	39	15	274	230	242	28	198	622	7
3272_1	0	1	1	0	5	0	3	4	2	2	1
3271_1	48	590	321	16	160	441	21	32	1772	1031	151
3270_1	8	92	37	7	26	0	3	12	17	20	8
327_1	1	5	14	2	15	0	3	7	6	4	2
3269_1	8	47	25	5	61	16	6	12	148	34	7
3268_1	63	101	119	48	265	28	36	25	257	167	17
3267_1	0	12	6	1	14	30	24	8	368	18	5
3266_1	0	0	0	0	1	0	0	1	0	0	0
3265_1	1	14	39	1	48	0	10	32	38	8	3
3264_1	2	41	58	5	37	25	1	3	76	76	5
3263_1	52	385	339	20	233	138	73	33	585	276	42
3262_1	6	19	35	4	45	2	13	23	30	16	6
3261_1	0	2	10	0	17	0	48	4	82	7	0
3260_1	23	156	88	13	154	52	50	24	392	99	19
326_1	40	235	139	36	605	83	240	47	944	233	33
3259_1	10	29	51	6	76	13	15	18	109	51	15
3258_1	3	9	6	6	24	6	0	2	6	5	1
3257_1	0	11	10	1	17	0	1	4	12	1	2
3256_1	23	166	156	16	186	25	22	27	500	159	40
3255_1	60	295	178	59	317	173	145	67	568	248	33
3254_1	7	28	172	0	24	12	14	7	48	22	7
3253_1	263	327	789	154	2231	48	796	1386	401	692	319
3252_1	0	0	1	0	1	0	0	2	0	0	0
3251_1	0	5	6	0	5	0	2	4	7	0	0
3250_1	15	133	94	15	158	44	35	61	265	67	35
325_1	24	137	76	21	155	74	23	24	329	86	16
3249_1	0	3	9	1	11	0	4	9	2	3	2
3248_1	48	276	414	46	1565	163	181	203	322	981	34
3247_1	3	25	20	6	42	5	5	15	140	26	9
3246_1	10	53	11	7	120	18	43	6	162	67	4
3245_1	10	33	24	1	67	40	20	24	105	22	4
3244_1	0	10	19	0	12	0	2	12	8	3	0
3243_1	1	8	12	4	14	2	6	12	22	8	5
3242_1	8	18	46	4	52	0	32	44	12	18	12
3241_1	0	0	4	0	2	0	1	1	0	0	0
3240_1	11	12	22	2	61	1	16	62	32	30	10
324_1	56	274	209	63	480	18	290	291	224	225	137
3239_1	0	13	3	2	8	0	3	8	15	4	1
3238_1	6	712	62	3	40	102	56	47	1624	92	21
3237_1	22	131	92	8	215	27	52	38	205	78	31
3236_1	2	2	8	0	226	8	42	17	138	11	2
3235_1	8	36	58	2	110	22	42	41	125	126	7
3234_1	10	14	13	0	32	0	4	6	68	3	6
3232_1	8	44	33	21	93	34	22	11	124	29	12
3231_1	2	22	17	1	65	93	98	10	244	120	1
3230_1	7	168	53	2	47	5	9	14	149	175	16
323_1	3	29	9	3	83	0	24	10	103	33	8
3229_1	0	0	2	0	0	0	0	1	8	4	0
3228_1	18	76	179	14	211	29	79	360	100	78	51
3227_1	9	43	57	5	131	3	46	57	106	78	21
3226_1	2	16	35	2	41	0	12	32	25	13	9
3225_1	0	7	10	1	18	2	2	4	2	4	2
3224_1	13	40	52	15	38	11	5	10	59	46	3
3223_1	0	11	2	0	8	0	5	1	14	2	1
3222_1	1	15	5	2	6	0	1	4	23	11	1
3221_1	126	845	306	15	2128	1484	1922	137	4059	2948	64
3220_1	0	7	8	0	20	4	1	3	20	23	4
322_1	142	516	342	97	698	222	93	111	1768	465	121
3219_1	12	145	142	16	64	49	21	5	123	142	8
3218_1	5	15	10	5	42	1	3	5	42	6	1
3217_1	4	24	70	0	24	1	5	3	63	37	4
3216_1	7	32	52	6	76	2	14	29	26	28	2
3215_1	4	9	6	0	42	0	6	4	16	66	1
3214_1	12	45	48	6	71	13	17	13	109	51	10
3213_1	1	8	18	3	32	0	5	16	21	7	7
3212_1	2	5	3	0	3	0	0	2	17	3	0
3211_1	0	1	4	0	4	0	1	1	1	1	1
3210_1	9	81	41	10	100	31	6	13	205	74	4
321_1	6	131	55	8	8	1	12	5	85	19	7
3209_1	799	4864	3724	310	3935	1648	699	477	24605	3801	821
3208_1	3	13	14	0	20	0	4	7	44	15	7
3207_1	0	0	0	0	0	0	0	0	0	0	0
3206_1	0	19	6	1	8	2	5	1	41	10	2
3205_1	0	33	27	2	75	27	10	16	91	39	9
3204_1	1	19	8	1	7	0	2	5	26	19	2
3203_1	23	59	22	15	28	47	9	8	41	104	2
3202_1	2	13	9	1	13	2	15	2	109	28	8
3201_1	2	4	4	1	10	0	5	6	87	14	1
3200_1	0	2	1	0	3	0	2	0	4	1	0
320_1	6	19	14	1	23	1	14	20	40	9	7
32_1	17	52	97	11	75	0	23	39	76	433	8
3199_1	1	3	5	0	198	2	14	7	20	58	4
3198_1	6	4	22	4	36	0	30	21	21	59	3
3197_1	1	1	1	1	2	0	1	2	1	2	0
3196_1	2	8	31	8	369	10	123	8	56	269	4
3195_1	20	17	39	16	99	3	21	114	18	35	10
3194_1	6	22	32	2	30	10	28	5	45	28	2
3193_1	0	0	0	0	0	0	0	0	0	0	0
3192_1	9	28	13	0	35	7	8	9	56	35	8
3191_1	16	26	39	10	99	12	46	10	131	27	10
3190_1	54	328	451	65	2421	174	305	191	343	989	35
319_1	5	28	8	0	32	2	4	9	51	12	3
3189_1	3	19	19	1	27	8	7	8	66	14	3
3188_1	9	33	32	4	45	10	11	9	50	29	2
3187_1	4	162	31	2	85	91	47	6	642	324	7
3186_1	0	0	0	0	0	0	0	0	0	0	0
3185_1	1	4	1	0	6	2	1	0	0	2	0
3184_1	30	270	69	37	262	29	22	42	275	180	4
3182_1	10	17	13	8	71	13	19	17	99	27	13
3181_1	2	62	20	3	31	12	10	10	145	22	5
3180_1	1	5	11	0	15	0	6	45	5	9	1
318_1	1	0	4	0	5	0	2	8	0	0	1
3179_1	376	87	216	139	285	9	12	25	106	129	1
3178_1	2	7	3	1	13	1	1	2	10	2	0
3177_1	11	97	73	15	92	18	5	23	202	83	20
3176_1	2777	401	135	677	660	11	13	134	45	707	3
3175_1	0	1	1	0	3	0	0	0	2	5	0
3174_1	0	13	2	0	11	7	4	9	15	43	1
3173_1	0	3	7	0	10	0	2	11	17	8	3
3172_1	41	340	167	11	283	97	130	48	676	186	67
3171_1	27	21	37	10	51	11	12	15	18	13	7
3170_1	2	2	0	0	1	0	0	1	0	0	0
317_1	6	5	15	1	15	5	0	10	21	13	1
3169_1	1	14	11	0	28	45	30	6	30	99	0
3168_1	0	3	3	1	5	1	4	4	17	15	3
3167_1	1	18	7	0	26	4	0	2	21	9	0
3166_1	0	3	4	0	5	0	0	0	7	2	0
3165_1	5	7	6	5	38	0	12	19	25	19	4
3164_1	21	70	62	11	114	32	15	9	267	73	10
3163_1	1	16	2	2	26	16	4	20	35	109	0
3162_1	0	5	19	0	9	5	9	7	30	7	0
3161_1	0	0	0	1	1	0	1	0	9	1	0
3160_1	4	46	17	1	24	1	7	9	82	22	3
316_1	38	99	187	36	373	6	143	270	457	161	34
3159_1	3	18	35	14	54	4	21	30	43	16	2
3158_1	11	34	26	4	62	6	8	15	87	35	9
3157_1	6	30	25	4	33	7	4	8	119	34	6
3156_1	9	33	25	4	52	7	3	6	93	28	3
3155_1	0	0	6	1	6	6	0	3	18	34	4
3154_1	0	5	10	0	40	35	27	10	50	238	0
3153_1	0	4	1	0	2	3	3	2	32	5	1
3152_1	61	217	176	63	284	21	56	76	616	177	42
3151_1	0	0	0	0	0	0	0	0	2	0	0
3150_1	6	40	162	4	56	0	8	77	25	35	5
315_1	5	5	30	4	33	0	18	91	20	10	6
3149_1	18	146	39	14	76	5	13	15	146	70	5
3148_1	52	178	155	44	231	92	73	18	507	137	18
3147_1	1	18	4	2	35	0	1	3	8	4	0
3146_1	5	26	37	5	78	5	6	25	63	30	12
3145_1	7	5	27	2	46	0	16	40	8	10	7
3144_1	0	4	13	0	10	0	5	5	10	4	1
3143_1	708	155	354	155	395	29	16	36	22	210	0
3142_1	2	3	3	0	9	5	1	6	13	6	2
3141_1	0	2	0	0	2	0	0	0	9	1	0
3140_1	0	0	1	0	1	0	0	0	0	0	1
314_1	691	3634	1458	298	4538	701	608	323	13656	1898	515
